date,app_name,country,platform,metric,value
2025-05-15,App_1,AU,Android,ROAS,1.6914390336810805
2025-05-20,App_1,AU,Android,ROAS,0.6875139027102968
2025-05-24,App_1,AU,Android,ROAS,0.4861435726210351
2025-05-26,App_1,AU,Android,ROAS,0.7040481927710843
2025-05-28,App_1,AU,Android,ROAS,0.23029438839052038
2025-05-30,App_1,AU,Android,ROAS,1.3228186137094633
2025-05-31,App_1,AU,Android,ROAS,0.9596615891959799
2025-06-01,App_1,AU,Android,ROAS,1.602869414237412
2025-06-03,App_1,AU,Android,ROAS,0.18283828382838285
2025-06-04,App_1,AU,Android,ROAS,5.028290831496834
2025-06-05,App_1,AU,Android,ROAS,0.5778819334617707
2025-06-06,App_1,AU,Android,ROAS,1.2403459207306058
2025-06-07,App_1,AU,Android,ROAS,0.23733775566611384
2025-06-08,App_1,AU,Android,ROAS,1.3946235411329346
2025-06-11,App_1,AU,Android,ROAS,4.982734876221827
2025-06-16,App_1,AU,Android,ROAS,3.396115721404971
2025-06-17,App_1,AU,Android,ROAS,0.41364413553080204
2025-06-21,App_1,AU,Android,ROAS,1.2361799538385863
2025-06-23,App_1,AU,Android,ROAS,3.464280274181264
2025-06-24,App_1,AU,Android,ROAS,0.5902591631926132
2025-06-26,App_1,AU,Android,ROAS,0.9201121999198573
2025-06-27,App_1,AU,Android,ROAS,2.849882472523982
2025-07-01,App_1,AU,Android,ROAS,0.5272560544458194
2025-07-07,App_1,AU,Android,ROAS,1.3308348351105959
2025-07-10,App_1,AU,Android,ROAS,0.4817265174862656
2025-07-11,App_1,AU,Android,ROAS,1.1500264719814974
2025-07-19,App_1,AU,Android,ROAS,0.9323385644455879
2025-07-22,App_1,AU,Android,ROAS,3.797707630447844
2025-07-24,App_1,AU,Android,ROAS,0.5657430945717886
2025-07-26,App_1,AU,Android,ROAS,0.30419680656021864
2025-07-30,App_1,AU,Android,ROAS,0.9124769281736579
2025-08-02,App_1,AU,Android,ROAS,1.335656836461126
2025-08-03,App_1,AU,Android,ROAS,0.7365677626303128
2025-08-06,App_1,AU,Android,ROAS,1.4231466048264365
2025-08-07,App_1,AU,Android,ROAS,0.774934012066365
2025-08-08,App_1,AU,Android,ROAS,1.5635605617320072
2025-08-09,App_1,AU,Android,ROAS,0.47831301867219916
2025-08-10,App_1,AU,Android,ROAS,1.5349992650301338
2025-05-15,App_1,AU,Android,CPI,1.0665923984272607
2025-05-20,App_1,AU,Android,CPI,2.4196883852691218
2025-05-24,App_1,AU,Android,CPI,1.3021739130434782
2025-05-26,App_1,AU,Android,CPI,1.0863874345549738
2025-05-28,App_1,AU,Android,CPI,2.2430364372469636
2025-05-31,App_1,AU,Android,CPI,2.391737089201878
2025-06-01,App_1,AU,Android,CPI,1.1817494600431966
2025-06-03,App_1,AU,Android,CPI,1.994204322200393
2025-06-04,App_1,AU,Android,CPI,0.5964945226917058
2025-06-05,App_1,AU,Android,CPI,0.7511231101511878
2025-06-06,App_1,AU,Android,CPI,2.0010188989317994
2025-06-08,App_1,AU,Android,CPI,0.9139512195121952
2025-06-10,App_1,AU,Android,CPI,1.1087188612099645
2025-06-11,App_1,AU,Android,CPI,0.5659885931558934
2025-06-17,App_1,AU,Android,CPI,2.4587313432835822
2025-06-21,App_1,AU,Android,CPI,2.070832517140059
2025-06-23,App_1,AU,Android,CPI,0.5381147540983607
2025-06-24,App_1,AU,Android,CPI,2.0939031770045387
